timestamp,ask,bid,mid,spread,health,state
2018-01-14 14:36:01.140060,1683406.0,1683331.0,1683368.5,0.45,,
2018-01-14 14:37:01.058983,1683207.0,1682520.0,1682863.5,4.08,,
2018-01-14 14:38:01.095130,1681917.0,1681877.0,1681897.0,0.24,,
2018-01-14 14:39:01.184318,1682291.0,1681815.0,1682053.0,2.83,,
2018-01-14 14:40:01.175047,1685460.0,1684466.0,1684963.0,5.9,,
2018-01-14 14:41:01.101227,1684001.0,1684000.0,1684000.5,0.01,,
2018-01-14 14:42:01.176795,1682640.0,1682397.0,1682518.5,1.44,,
2018-01-14 14:43:01.120545,1681503.0,1681385.0,1681444.0,0.7,,
2018-01-14 14:44:01.042620,1681064.0,1680692.0,1680878.0,2.21,,
2018-01-14 14:45:01.077395,1680498.0,1680310.0,1680404.0,1.12,,
2018-01-14 14:46:01.176522,1678330.0,1678326.0,1678328.0,0.02,,
2018-01-14 14:47:01.111178,1673199.0,1673052.0,1673125.5,0.88,,
2018-01-14 14:48:01.160937,1673520.0,1673324.0,1673422.0,1.17,,
2018-01-14 14:49:01.123857,1672657.0,1671655.0,1672156.0,5.99,,
2018-01-14 14:50:01.057594,1671205.0,1671131.0,1671168.0,0.44,,
2018-01-14 14:51:01.106161,1673545.0,1673214.0,1673379.5,1.98,,
2018-01-14 14:52:01.040031,1672938.0,1672612.0,1672775.0,1.95,,
2018-01-14 14:53:01.153238,1675329.0,1675040.0,1675184.5,1.73,,
2018-01-14 14:54:01.089854,1676200.0,1676092.0,1676146.0,0.64,,
2018-01-14 14:55:01.146327,1676072.0,1676005.0,1676038.5,0.4,,
2018-01-14 14:56:01.092715,1676097.0,1676005.0,1676051.0,0.55,,
2018-01-14 14:57:01.138544,1676200.0,1675486.0,1675843.0,4.26,,
2018-01-14 14:58:01.070146,1675716.0,1675598.0,1675657.0,0.7,,
2018-01-14 14:59:01.114870,1675441.0,1675326.0,1675383.5,0.69,,
2018-01-14 15:00:01.067164,1675584.0,1675405.0,1675494.5,1.07,,
2018-01-14 15:01:01.121646,1676879.0,1676660.0,1676769.5,1.31,,
2018-01-14 15:02:01.083622,1676652.0,1676110.0,1676381.0,3.23,,
2018-01-14 15:03:01.136174,1676325.0,1676084.0,1676204.5,1.44,,
2018-01-14 15:04:01.157701,1675925.0,1675469.0,1675697.0,2.72,,
2018-01-14 15:05:01.111377,1678486.0,1678262.0,1678374.0,1.33,,
2018-01-14 15:06:01.050496,1675837.0,1675698.0,1675767.5,0.83,,
2018-01-14 15:07:01.108120,1676990.0,1676795.0,1676892.5,1.16,,
2018-01-14 15:08:01.144663,1675416.0,1675017.0,1675216.5,2.38,,
2018-01-14 15:09:01.062115,1673635.0,1673511.0,1673573.0,0.74,,
2018-01-14 15:10:01.090079,1670202.0,1670000.0,1670101.0,1.21,,
2018-01-14 15:11:01.168830,1670730.0,1670661.0,1670695.5,0.41,,
2018-01-14 15:12:01.115620,1671116.0,1671039.0,1671077.5,0.46,,
2018-01-14 15:13:01.072806,1672234.0,1672110.0,1672172.0,0.74,,
2018-01-14 15:14:01.118205,1675501.0,1674312.0,1674906.5,7.1,,
2018-01-14 15:15:01.137969,1671323.0,1671038.0,1671180.5,1.71,,
2018-01-14 15:16:01.064410,1672457.0,1672074.0,1672265.5,2.29,,
